image_name,label
000000.jpg,1
000001.jpg,8
000002.jpg,0
000003.jpg,1
000004.jpg,8
000005.jpg,2
000006.jpg,8
000007.jpg,0
000008.jpg,9
000009.jpg,9
000010.jpg,6
000011.jpg,0
000012.jpg,5
000013.jpg,4
000014.jpg,1
000015.jpg,2
000016.jpg,4
000017.jpg,5
000018.jpg,4
000019.jpg,0
000020.jpg,0
000021.jpg,6
000022.jpg,0
000023.jpg,1
000024.jpg,9
000025.jpg,0
000026.jpg,6
000027.jpg,0
000028.jpg,6
000029.jpg,0
000030.jpg,0
000031.jpg,0
000032.jpg,3
000033.jpg,6
000034.jpg,6
000035.jpg,1
000036.jpg,6
000037.jpg,4
000038.jpg,0
000039.jpg,3
000040.jpg,0
000041.jpg,3
000042.jpg,0
000043.jpg,6
000044.jpg,7
000045.jpg,1
000046.jpg,2
000047.jpg,4
000048.jpg,6
000049.jpg,0
000050.jpg,0
000051.jpg,7
000052.jpg,3
000053.jpg,6
000054.jpg,4
000055.jpg,6
000056.jpg,6
000057.jpg,0
000058.jpg,1
000059.jpg,3
000060.jpg,4
000061.jpg,4
000062.jpg,9
000063.jpg,1
000064.jpg,6
000065.jpg,0
000066.jpg,3
000067.jpg,0
000068.jpg,0
000069.jpg,0
000070.jpg,1
000071.jpg,0
000072.jpg,0
000073.jpg,1
000074.jpg,0
000075.jpg,4
000076.jpg,1
000077.jpg,3
000078.jpg,2
000079.jpg,0
000080.jpg,8
000081.jpg,7
000082.jpg,0
000083.jpg,6
000084.jpg,4
000085.jpg,0
000086.jpg,0
000087.jpg,0
000088.jpg,6
000089.jpg,4
000090.jpg,8
000091.jpg,3
000092.jpg,0
000093.jpg,0
000094.jpg,3
000095.jpg,8
000096.jpg,0
000097.jpg,0
000098.jpg,2
000099.jpg,2
000100.jpg,0
000101.jpg,0
000102.jpg,6
000103.jpg,0
000104.jpg,1
000105.jpg,6
000106.jpg,3
000107.jpg,0
000108.jpg,0
000109.jpg,0
000110.jpg,0
000111.jpg,9
000112.jpg,0
000113.jpg,3
000114.jpg,8
000115.jpg,1
000116.jpg,7
000117.jpg,1
000118.jpg,7
000119.jpg,2
000120.jpg,1
000121.jpg,1
000122.jpg,1
000123.jpg,0
000124.jpg,0
000125.jpg,0
000126.jpg,1
000127.jpg,2
000128.jpg,0
000129.jpg,8
000130.jpg,0
000131.jpg,6
000132.jpg,2
000133.jpg,0
000134.jpg,1
000135.jpg,4
000136.jpg,8
000137.jpg,2
000138.jpg,2
000139.jpg,1
000140.jpg,2
000141.jpg,3
000142.jpg,9
000143.jpg,3
000144.jpg,7
000145.jpg,0
000146.jpg,0
000147.jpg,8
000148.jpg,3
000149.jpg,0
000150.jpg,3
000151.jpg,2
000152.jpg,5
000153.jpg,6
000154.jpg,9
000155.jpg,2
000156.jpg,7
000157.jpg,3
000158.jpg,3
000159.jpg,1
000160.jpg,2
000161.jpg,4
000162.jpg,6
000163.jpg,0
000164.jpg,1
000165.jpg,0
000166.jpg,0
000167.jpg,1
000168.jpg,2
000169.jpg,6
000170.jpg,3
000171.jpg,6
000172.jpg,2
000173.jpg,0
000174.jpg,1
000175.jpg,3
000176.jpg,0
000177.jpg,0
000178.jpg,4
000179.jpg,2
000180.jpg,2
000181.jpg,1
000182.jpg,3
000183.jpg,6
000184.jpg,0
000185.jpg,4
000186.jpg,1
000187.jpg,0
000188.jpg,8
000189.jpg,4
000190.jpg,5
000191.jpg,3
000192.jpg,1
000193.jpg,5
000194.jpg,3
000195.jpg,3
000196.jpg,8
000197.jpg,3
000198.jpg,3
000199.jpg,9
000200.jpg,0
000201.jpg,0
000202.jpg,3
000203.jpg,3
000204.jpg,3
000205.jpg,3
000206.jpg,2
000207.jpg,2
000208.jpg,5
000209.jpg,6
000210.jpg,8
000211.jpg,6
